estimator,n_samples,duration
IPTW,100,13.81
IPTW,200,26.91
IPTW,500,68.42
IPTW,1000,140.54
g-computation,100,12.28
g-computation,200,24.58
g-computation,500,61.42
g-computation,1000,121.49
